suite,case_id,repeat,seed,agent_capacity,bluegill_initial,minnow_initial,bass_initial,food,cover,ticks,ticks_per_day,spatial_grid,detection_radius,mate_radius,bass_mate_radius,program_ms,kernel_total_ms,kernel_avg_ms,kernel_max_ms,kernel_launches,wall_seconds,final_day,final_bluegill,final_minnow,final_bass,final_food,day_births,day_deaths,day_predation,status
capacity,cap10000,1,112,10000,2000,2500,100,3333,500,96,96,64,0.28,0.075,0.14,853.995,693.217,7.221,9.255,96,1.23,1.000000,3274,2873,100,1206,1742,0,95,ok
capacity,cap10000,2,213,10000,2000,2500,100,3333,500,96,96,64,0.28,0.075,0.14,881.523,685.141,7.137,9.528,96,1.24,1.000000,3269,2882,100,1139,1755,0,104,ok
capacity,cap10000,3,314,10000,2000,2500,100,3333,500,96,96,64,0.28,0.075,0.14,924.381,764.112,7.959,9.498,96,1.28,1.000000,3172,2928,100,1158,1695,0,95,ok
capacity,cap20000,1,112,20000,4000,5000,200,6666,1000,96,96,64,0.28,0.075,0.14,1745.719,1279.955,13.333,17.234,96,2.04,1.000000,7288,7004,338,1349,5786,0,356,ok
capacity,cap20000,2,213,20000,4000,5000,200,6666,1000,96,96,64,0.28,0.075,0.14,1739.528,1290.009,13.438,16.519,96,2.32,1.000000,7063,6606,317,1398,5104,0,318,ok
capacity,cap20000,3,314,20000,4000,5000,200,6666,1000,96,96,64,0.28,0.075,0.14,1765.867,1326.819,13.821,16.347,96,2.10,1.000000,7045,6666,308,1392,5161,0,342,ok
capacity,cap40000,1,112,40000,8000,10000,400,13333,2000,96,96,64,0.28,0.075,0.14,3821.943,2475.453,25.786,32.510,96,4.18,1.000000,16051,14203,738,2678,13676,0,1084,ok
capacity,cap40000,2,213,40000,8000,10000,400,13333,2000,96,96,64,0.28,0.075,0.14,4015.388,2647.311,27.576,43.417,96,8.27,1.000000,16297,14928,711,2618,14601,0,1065,ok
capacity,cap40000,3,314,40000,8000,10000,400,13333,2000,96,96,64,0.28,0.075,0.14,4033.487,2697.878,28.103,34.826,96,4.60,1.000000,16196,13996,729,2622,13583,0,1062,ok
capacity,cap80000,1,112,80000,16000,20000,800,26666,4000,96,96,64,0.28,0.075,0.14,9262.970,5493.404,57.223,88.795,96,9.49,1.000000,35271,24553,1604,5173,27344,0,2716,ok
capacity,cap80000,2,213,80000,16000,20000,800,26666,4000,96,96,64,0.28,0.075,0.14,9466.133,5671.259,59.076,90.482,96,9.83,1.000000,35329,24855,1631,5236,27755,0,2740,ok
capacity,cap80000,3,314,80000,16000,20000,800,26666,4000,96,96,64,0.28,0.075,0.14,9544.807,5707.107,59.449,97.041,96,9.81,1.000000,35426,24452,1649,5303,27454,0,2727,ok
capacity,cap120000,1,112,120000,24000,30000,1200,40000,6000,96,96,64,0.28,0.075,0.14,16713.840,8961.397,93.348,168.487,96,17.11,1.000000,54219,37507,2484,8077,43516,0,4506,ok
capacity,cap120000,2,213,120000,24000,30000,1200,40000,6000,96,96,64,0.28,0.075,0.14,16857.935,8900.404,92.713,164.039,96,17.50,1.000000,54822,36976,2468,8225,43554,0,4488,ok
